teamId,abbreviation,displayName,slug,seasonType,eventId,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance,updateTime,precision_tiro,aprovechamiento_posesion,aprovechamiento_posesion_peligroso,peligrosidad_centros,precision_centros,limpieza_defensiva,limpieza_defensiva_completa,efectividad_despeje,indice_verticalidad,verticalidad_efectiva,precision_verticalidad,intensidad_circulacion,intensidad_circulacion_precisa
363,CHE,Chelsea,eng.chelsea,12282,701273,0,57.0,11.0,0.0,0.0,0.0,11.0,7.0,23.0,10.0,0.4,1.0,1.0,426.0,479.0,0.9,5.0,15.0,0.3,52.0,30.0,0.6,4.0,6.0,7.0,0.9,8.0,6.0,6.0,2024-07-28 10:42:37,43.47826086956522,0.40350877192982454,0.17543859649122806,0.0013333333333333333,33.33333333333333,42.10526315789473,56.00000000000001,100.0,10.855949895615867,6.263048016701461,57.692307692307686,8.403508771929825,7.473684210526316
382,MNC,Manchester City,eng.man_city,12282,701274,0,43.3,13.0,0.0,0.0,4.0,2.0,3.0,10.0,3.0,0.3,0.0,0.0,446.0,485.0,0.9,2.0,7.0,0.3,34.0,18.0,0.5,2.0,9.0,13.0,0.7,5.0,8.0,8.0,2024-07-28 10:42:38,30.0,0.2309468822170901,0.06928406466512703,0.000857142857142857,28.57142857142857,27.77777777777778,51.85185185185185,100.0,7.010309278350515,3.711340206185567,52.94117647058824,11.200923787528868,10.300230946882218
83,BAR,Barcelona,esp.barcelona,12282,701275,0,42.9,14.0,1.0,0.0,1.0,3.0,4.0,10.0,3.0,0.3,0.0,0.0,405.0,451.0,0.9,3.0,16.0,0.2,44.0,29.0,0.7,5.0,12.0,21.0,0.6,11.0,26.0,26.0,2024-08-01 08:10:51,30.0,0.23310023310023312,0.06993006993006994,0.0005625,18.75,44.0,62.16216216216216,100.0,9.75609756097561,6.430155210643015,65.9090909090909,10.512820512820513,9.440559440559442
382,MNC,Manchester City,eng.man_city,12282,701275,1,57.1,8.0,2.0,0.0,0.0,4.0,1.0,16.0,6.0,0.4,0.0,0.0,548.0,607.0,0.9,3.0,15.0,0.2,47.0,26.0,0.6,6.0,12.0,16.0,0.8,10.0,11.0,11.0,2024-08-01 08:10:51,37.5,0.28021015761821366,0.10507880910683012,0.0008000000000000001,20.0,55.55555555555556,73.33333333333333,100.0,7.742998352553541,4.2833607907743,55.319148936170215,10.630472854640981,9.597197898423818
86,RMA,Real Madrid,esp.real_madrid,12282,701276,0,48.5,15.0,0.0,0.0,3.0,3.0,3.0,8.0,2.0,0.3,0.0,0.0,421.0,474.0,0.9,2.0,13.0,0.2,56.0,42.0,0.8,4.0,17.0,24.0,0.7,7.0,4.0,4.0,2024-08-02 08:14:25,25.0,0.16494845360824742,0.041237113402061855,0.0004615384615384616,15.384615384615385,31.818181818181817,61.53846153846154,100.0,11.814345991561181,8.860759493670885,75.0,9.77319587628866,8.68041237113402
86,RMA,Real Madrid,esp.real_madrid,12282,701277,0,50.4,14.0,2.0,0.0,1.0,6.0,4.0,11.0,3.0,0.3,0.0,0.0,501.0,548.0,0.9,4.0,11.0,0.4,41.0,30.0,0.7,6.0,12.0,16.0,0.8,10.0,10.0,10.0,2024-08-04 08:14:31,27.27272727272727,0.21825396825396826,0.05952380952380953,0.001090909090909091,36.36363636363637,41.66666666666667,61.111111111111114,100.0,7.481751824817519,5.474452554744526,73.17073170731707,10.873015873015873,9.940476190476192
83,BAR,Barcelona,esp.barcelona,12282,701277,1,49.6,12.0,2.0,0.0,1.0,6.0,2.0,11.0,6.0,0.5,0.0,0.0,491.0,535.0,0.9,3.0,12.0,0.3,32.0,18.0,0.6,1.0,13.0,14.0,0.9,5.0,14.0,14.0,2024-08-04 08:14:31,54.54545454545454,0.2217741935483871,0.12096774193548386,0.00125,25.0,29.411764705882355,60.0,100.0,5.981308411214954,3.364485981308411,56.25,10.786290322580644,9.899193548387096
382,MNC,Manchester City,eng.man_city,12282,701278,0,43.7,12.0,1.0,0.0,1.0,3.0,2.0,10.0,7.0,0.7,1.0,1.0,346.0,395.0,0.9,2.0,6.0,0.3,48.0,30.0,0.6,1.0,8.0,10.0,0.8,13.0,8.0,8.0,2024-08-04 08:14:30,70.0,0.22883295194508008,0.16018306636155605,0.002333333333333333,33.33333333333333,52.0,63.63636363636363,100.0,12.151898734177214,7.59493670886076,62.5,9.038901601830663,7.917620137299771
363,CHE,Chelsea,eng.chelsea,12282,701278,1,56.3,15.0,3.0,0.0,0.0,3.0,3.0,12.0,4.0,0.3,0.0,0.0,448.0,501.0,0.9,4.0,11.0,0.4,36.0,22.0,0.6,3.0,17.0,23.0,0.7,13.0,5.0,5.0,2024-08-04 08:14:30,33.33333333333333,0.21314387211367675,0.07104795737122559,0.001090909090909091,36.36363636363637,46.42857142857143,66.66666666666666,100.0,7.18562874251497,4.39121756487026,61.111111111111114,8.898756660746004,7.957371225577265
83,BAR,Barcelona,esp.barcelona,12282,701279,0,50.8,15.0,4.0,0.0,1.0,6.0,0.0,17.0,7.0,0.4,0.0,0.0,444.0,504.0,0.9,4.0,14.0,0.3,41.0,20.0,0.5,5.0,10.0,18.0,0.6,7.0,6.0,6.0,2024-08-07 08:18:00,41.17647058823529,0.3346456692913386,0.1377952755905512,0.0011428571428571427,28.57142857142857,31.818181818181817,53.125,100.0,8.134920634920634,3.968253968253968,48.78048780487805,9.921259842519685,8.740157480314961
86,RMA,Real Madrid,esp.real_madrid,12282,701280,0,56.6,10.0,1.0,0.0,1.0,6.0,2.0,14.0,3.0,0.2,0.0,0.0,545.0,592.0,0.9,2.0,13.0,0.2,42.0,30.0,0.7,3.0,12.0,17.0,0.7,7.0,8.0,8.0,2024-08-07 08:18:00,21.428571428571427,0.24734982332155475,0.053003533568904596,0.0003076923076923077,15.384615384615385,41.17647058823529,65.51724137931035,100.0,7.094594594594595,5.0675675675675675,71.42857142857143,10.459363957597173,9.628975265017667
363,CHE,Chelsea,eng.chelsea,12282,701280,1,43.4,6.0,0.0,0.0,0.0,1.0,1.0,9.0,3.0,0.3,0.0,0.0,414.0,452.0,0.9,3.0,9.0,0.3,31.0,19.0,0.6,1.0,12.0,14.0,0.9,9.0,11.0,11.0,2024-08-07 08:18:00,33.33333333333333,0.20737327188940094,0.06912442396313365,0.001,33.33333333333333,60.0,77.77777777777779,100.0,6.8584070796460175,4.20353982300885,61.29032258064516,10.414746543778802,9.539170506912443
132,MUN,Bayern Munich,ger.bayern_munich,12282,701540,1,55.1,13.0,2.0,0.0,2.0,4.0,1.0,21.0,7.0,0.3,0.0,0.0,453.0,515.0,0.9,6.0,9.0,0.7,55.0,43.0,0.8,3.0,16.0,26.0,0.6,13.0,16.0,16.0,2024-08-11 08:15:15,33.33333333333333,0.3811252268602541,0.12704174228675136,0.002,66.66666666666666,50.0,69.04761904761905,100.0,10.679611650485436,8.349514563106796,78.18181818181819,9.346642468239564,8.221415607985481
364,LIV,Liverpool,eng.liverpool,12282,702699,0,62.7,18.0,2.0,0.0,4.0,1.0,1.0,9.0,3.0,0.3,0.0,0.0,608.0,680.0,0.9,3.0,10.0,0.3,37.0,18.0,0.5,0.0,16.0,20.0,0.8,11.0,4.0,4.0,2024-07-27 10:42:50,33.33333333333333,0.14354066985645933,0.04784688995215311,0.0009,30.0,37.93103448275862,60.0,100.0,5.4411764705882355,2.6470588235294117,48.64864864864865,10.84529505582137,9.696969696969697
86,RMA,Real Madrid,esp.real_madrid,12573,702700,0,51.8,12.0,2.0,0.0,0.0,5.0,1.0,13.0,6.0,0.5,0.0,0.0,539.5,601.5,0.9,0.0,0.0,0.0,44.0,26.0,0.6,3.0,10.0,0.0,0.6,8.0,14.0,14.0,2024-08-16 08:16:26,46.15384615384615,0.25096525096525096,0.11583011583011583,0.0,0.0,40.0,60.0,100.0,7.315045719035744,4.322527015793849,59.09090909090909,11.611969111969113,10.415057915057915
