teamId,abbreviation,displayName,slug,seasonType,eventId,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance,updateTime
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704445,1,35.6,14.0,4.0,0.0,3.0,5.0,3.0,10.0,6.0,0.6,0.0,0.0,236.0,303.0,0.8,1.0,14.0,0.1,51.0,22.0,0.4,1.0,9.0,20.0,0.5,18.0,49.0,49.0,2024-12-22 05:54:10
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704453,0,29.6,12.0,3.0,0.0,4.0,2.0,4.0,10.0,3.0,0.3,0.0,0.0,191.0,261.0,0.7,1.0,6.0,0.2,50.0,19.0,0.4,2.0,13.0,21.0,0.6,10.0,32.0,32.0,2024-12-27 05:48:38
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704465,1,36.3,10.0,1.0,0.0,2.0,4.0,2.0,11.0,7.0,0.6,0.0,0.0,196.0,288.0,0.7,1.0,8.0,0.1,70.0,22.0,0.3,0.0,13.0,18.0,0.7,10.0,39.0,39.0,2024-12-30 05:52:42
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704476,1,39.2,8.0,2.0,0.0,4.0,3.0,5.0,11.0,3.0,0.3,0.0,0.0,286.0,361.0,0.8,2.0,10.0,0.2,50.0,21.0,0.4,2.0,12.0,18.0,0.7,10.0,35.0,35.0,2025-01-08 05:41:48
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704484,0,29.0,7.0,2.0,0.0,2.0,0.0,5.0,6.0,3.0,0.5,0.0,0.0,159.0,235.0,0.7,0.0,9.0,0.0,62.0,23.0,0.4,2.0,15.0,20.0,0.8,9.0,58.0,58.0,2025-01-15 05:36:16
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704492,0,44.5,4.0,0.0,0.0,3.0,2.0,1.0,14.0,5.0,0.4,0.0,0.0,318.0,386.0,0.8,5.0,18.0,0.3,50.0,25.0,0.5,2.0,11.0,19.0,0.6,8.0,21.0,21.0,2025-01-20 14:35:18
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704507,1,49.0,12.0,3.0,0.0,2.0,9.0,5.0,18.0,4.0,0.2,0.0,0.0,253.0,338.0,0.7,6.0,23.0,0.3,44.0,19.0,0.4,5.0,6.0,11.0,0.5,5.0,24.0,24.0,2025-01-26 05:40:34
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704518,0,37.4,8.0,1.0,0.0,1.0,4.0,6.0,14.0,9.0,0.6,1.0,1.0,256.0,326.0,0.8,4.0,10.0,0.4,50.0,26.0,0.5,1.0,15.0,21.0,0.7,7.0,38.0,38.0,2025-02-02 14:50:29
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704519,1,44.5,8.0,0.0,0.0,1.0,4.0,8.0,8.0,2.0,0.3,0.0,0.0,343.0,404.0,0.8,4.0,18.0,0.2,49.0,25.0,0.5,3.0,7.0,10.0,0.7,8.0,30.0,30.0,2025-02-16 05:49:53
393,NFO,Nottingham Forest,eng.nottm_forest,12654,704533,1,42.9,13.0,4.0,0.0,0.0,6.0,1.0,17.0,5.0,0.3,0.0,0.0,253.0,345.0,0.7,8.0,20.0,0.4,50.0,12.0,0.2,7.0,20.0,28.0,0.7,3.0,25.0,25.0,2025-02-24 05:52:05
